"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"XM_027205369.2",2956.98646921013,-3.60277077911783,0.20556767270968,-17.5259598536486,9.0796251449061e-69,2.97593793749442e-64
"XM_027214542.2",2558.29510605782,6.16238887821835,0.359898223414893,17.1225876575509,1.00697914859586e-65,1.65023742871889e-61
"XM_072074581.1",6380.46655312153,-3.19533476419849,0.194781198836379,-16.404739180616,1.76884747991181e-60,1.93252483338632e-56
"XM_027235162.2",1514.3291347031,5.45678849929836,0.349603556398449,15.6085039737959,6.37134981637581e-55,5.22068403953834e-51
"XM_027260048.2",2276.89549146312,-2.57525506242238,0.166293463226108,-15.4862074098537,4.29914757798113e-54,2.81817722031819e-50
"XM_072054414.1",2302.36768412741,-2.48930650702346,0.162889356509555,-15.2821925285059,1.00501659432424e-52,5.49007064926187e-49
"XM_027250221.2",2016.9499725933,-2.71914382896033,0.179548777709537,-15.1443182384633,8.26068071859857e-52,3.46106345781277e-48
"XM_072075195.1",753.235632218561,-3.80618609744807,0.251352105397503,-15.1428454972706,8.44779950649932e-52,3.46106345781277e-48
"XM_027232564.2",10316.4116905699,-4.95256315648816,0.33539607291088,-14.7663122990833,2.41573975632474e-49,8.79758736147774e-46
"XM_027269556.2",388.676104298905,-3.22255270821308,0.218493240406115,-14.7489812601219,3.12343931981009e-49,1.02373847146095e-45
"XM_027265445.2",2149.04260245948,-3.96240297692952,0.275739319533114,-14.3701050094659,7.97102965009746e-47,2.3750769801054e-43
"XM_027268047.2",657.811351724886,-3.86030636360311,0.270055366319481,-14.2944997398655,2.36801296123405e-46,6.46783273478395e-43
"XM_027262738.2",1952.47710529192,-1.81891993883875,0.127531167562292,-14.2625522341455,3.7450332812742e-46,9.44209314054178e-43
"XM_072078435.1",2133.03019855959,-4.49349523223317,0.317024301695313,-14.1739772257327,1.32763325743486e-45,3.10817911754892e-42
"XM_072053272.1",883.501640730113,2.07763480029045,0.152730458951033,13.6032773983647,3.82883652953055e-42,8.3662630727929e-39
"XM_027208059.2",4376.03373991048,-3.39475934229173,0.250611422609234,-13.5459082708493,8.3771274786366e-42,1.71605456399871e-38
"XM_027236494.2",10916.096045567,-4.68667225437202,0.346254918788589,-13.5353232548114,9.6755891160419e-42,1.86545358157288e-38
"XM_027223252.2",17857.7991921604,-4.33779949713336,0.322086130138816,-13.4678245699801,2.41888198390141e-41,4.40451532801958e-38
