COG_name,Universe,Up,Down
Function unknown,24088,558,1023
Signal transduction mechanisms,7463,169,367
Transcription,5470,152,159
"Replication, recombination and repair",5250,29,55
"Posttranslational modification, protein turnover, chaperones",5051,106,269
Carbohydrate transport and metabolism,3032,157,170
"Secondary metabolites biosynthesis, transport and catabolism",2699,158,195
"Translation, ribosomal structure and biogenesis",2421,31,129
Amino acid transport and metabolism,2311,88,95
"Intracellular trafficking, secretion, vesicular transport",1974,63,52
Lipid transport and metabolism,1749,57,56
Inorganic ion transport and metabolism,1601,54,99
Energy production and conversion,1538,56,132
"Cell cycle control, cell division, chromosome partitioning",978,13,12
Coenzyme transport and metabolism,886,25,63
Cytoskeleton,739,14,15
Nucleotide transport and metabolism,676,22,30
Defense mechanisms,660,24,49
Cell wall/membrane/envelope biogenesis,549,15,39
Nuclear structure,37,0,1
Extracellular structures,8,0,0
