"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"XM_027214542.2",2558.29510605782,6.52446425725043,0.522500217871134,12.4870077257261,8.78977128807692e-36,2.11420368792114e-31
"XM_072053272.1",883.501640730113,2.71249410359243,0.221514091303216,12.2452440277466,1.78140462913525e-34,2.14240627722951e-30
"XM_027235162.2",1514.3291347031,5.83513609434951,0.507119738086263,11.5064266998752,1.22447550844125e-30,9.81743646817915e-27
"XM_027213765.2",2158.20800510616,4.85580348133342,0.497580417643613,9.75883155597039,1.69092096361548e-22,8.13434438756863e-19
"XM_027206113.2",732.877630125423,4.44393883690438,0.456639485756915,9.73183216851738,2.20583545050659e-22,8.84282668183916e-19
"XM_027245345.2",1133.10070344095,4.22812033902028,0.441331644960861,9.58036974528589,9.6698134385641e-22,2.90735028297228e-18
"XM_027244421.2",632.370844482779,5.36275970226083,0.563864060411777,9.51073153757048,1.89326406384905e-21,5.05985339197347e-18
"XM_027229013.2",1217.19915377018,4.34162954657815,0.463612527426243,9.364780478821,7.62085440355796e-21,1.66640373607982e-17
"XM_027215442.2",738.209625572581,2.88197481233294,0.332470909381246,8.66835181970213,4.38420262401377e-18,6.5908266072127e-15
"XM_072052346.1",1288.1211593207,5.14172319453081,0.596727175248631,8.6165393630489,6.90080799918401e-18,9.22139637802073e-15
"XM_027264419.2",574.138059094977,2.43297669258595,0.282995413601167,8.59723011629725,8.16631354723514e-18,9.82121698758235e-15
"XM_027233275.2",7364.51653993445,4.41044569250064,0.512849778805679,8.59987831674933,7.98006637757472e-18,9.82121698758235e-15
"XM_072049222.1",256.088490155405,3.21747577420762,0.377404437467159,8.52527277050791,1.52450134384908e-17,1.7461348011239e-14
"XM_027270411.2",714.147432301013,3.91376160028143,0.459611061585034,8.51537729919785,1.66048778475075e-17,1.81544148575499e-14
"XM_027250101.2",644.207214846329,2.22107889269918,0.265682765730653,8.35989073883284,6.27763692085244e-17,6.03984003429055e-14
"XM_027240717.2",1831.57828611306,4.3587730063688,0.528471212992628,8.24789108509038,1.61214195960666e-16,1.49141732901612e-13
"XM_027241957.2",686.788494335135,5.14128688287346,0.626148098553807,8.21097579749601,2.19398109271034e-16,1.88470811510578e-13
"XM_072046007.1",1864.43204632531,6.874890478569,0.837771196843079,8.2061671545587,2.28361432628602e-16,1.89406122035026e-13
"XM_027226701.2",263.295995260146,10.2449524652708,1.25177190460206,8.18436044746329,2.73753565339736e-16,2.19486483570555e-13
"XM_072066294.1",1195.16738524182,5.36354112135529,0.675541887249903,7.93961295751771,2.02813116218056e-15,1.52445746387278e-12
"XM_027243570.2",153.508529378477,6.37831534803915,0.803229577522554,7.94083724819018,2.00821038615021e-15,1.52445746387278e-12
"XM_027254686.2",1381.06886488621,3.30102298627148,0.422149589547125,7.81955749338229,5.30093470407447e-15,3.8637388617304e-12
"XM_027248143.2",734.236221956509,3.25805443552067,0.420034229865554,7.75664030182377,8.72088215473491e-15,5.91518666099996e-12
"XM_072078610.1",864.573766595081,1.76760079324704,0.227938433501174,7.75472905598403,8.85322911054749e-15,5.91518666099996e-12
"XM_027228544.2",432.19904969846,3.24014270360019,0.419653200318276,7.72100081958813,1.15419811244868e-14,7.50322356722384e-12
"XM_072079537.1",117.35551380213,4.16131885878043,0.540528668503061,7.69860897536625,1.37555395547234e-14,8.70689455025687e-12
"XM_027214511.2",97.1724889898974,6.86108263625294,0.902816143843561,7.59964549043533,2.969430724404e-14,1.78559293035224e-11
"XM_027210347.2",6992.31293426095,1.02059636395853,0.134597658220138,7.58257147601572,3.38772338579939e-14,1.98743684386909e-11
"XR_011842473.1",370.57889765536,5.81410831900874,0.771256522383315,7.53848836317408,4.75450398389495e-14,2.65953684475872e-11
"XM_027264034.2",468.777064474751,4.29245005481356,0.575427639217212,7.45958268645704,8.6796945335524e-14,4.53853679598991e-11
"XM_027241207.2",138.295806129913,5.08222122629417,0.682448693242835,7.44703781634434,9.5459263893189e-14,4.78350348838099e-11
"XM_072060470.1",398.219044753331,4.45888240284693,0.602210706855244,7.40418984931586,1.31953536439643e-13,6.47730288159741e-11
"XM_027229486.2",2365.18691332427,1.93095929302698,0.26090798491253,7.40092064899562,1.35243534636129e-13,6.50602547720561e-11
"XM_027239578.2",356.226022229055,4.37771851970432,0.592864977139257,7.38400595162167,1.53596576148472e-13,7.24403616882194e-11
"XM_027205707.2",8670.8169263411,3.7947684984675,0.516022071153691,7.35388796448839,1.92523118946293e-13,8.90530496156769e-11
"XM_027257339.2",2539.73329204703,5.60562822064013,0.77258433982088,7.25568450162964,3.99635617523053e-13,1.78008064968185e-10
"XM_027227203.2",226.707243190923,3.84021982662721,0.534701236690241,7.18199166771686,6.87031098229356e-13,3.00457436467467e-10
"XM_072051630.1",35.0280835478369,8.50398791124146,1.1852347243767,7.17493989700108,7.23389587347521e-13,3.10708745436963e-10
"XM_027232055.2",3487.14561076997,2.19254571752503,0.307725228787677,7.12501125163786,1.04072185969244e-12,4.39166366511969e-10
"XM_027258335.2",489.936307419842,6.17797553730549,0.870284366767181,7.09880100484239,1.25843852430708e-12,5.2188313491652e-10
"XM_027223398.2",1648.85444871413,4.50294485794224,0.64006626490529,7.03512293154294,1.99085399907695e-12,7.85016577701604e-10
"XM_027241493.2",1571.16352271884,4.22630674170378,0.601923992436251,7.02132959445271,2.19766737798965e-12,8.52588603915886e-10
"XM_027254847.2",534.558718003464,6.0108475421213,0.857752904680678,7.00766795346382,2.42323050127366e-12,9.25174019795798e-10
"XM_027264036.2",869.540529595834,4.49725492230926,0.643902314086882,6.98437452998879,2.86127822644561e-12,1.07534883094838e-09
"XM_027231444.2",7843.68407067143,5.6128120804966,0.805282860668699,6.9699882546063,3.16967447203209e-12,1.17292584731981e-09
"XM_027239829.2",75.8763202475041,7.18279859873331,1.03563410241589,6.93565283527992,4.04349476485545e-12,1.45161462058311e-09
"XM_027225126.2",2248.75642293101,2.63065778754758,0.380097837627305,6.92100171884429,4.48461047219253e-12,1.56330921286445e-09
"XM_027231936.2",1499.86909828344,3.87378592382648,0.561186088364172,6.90285451501188,5.09678219927759e-12,1.702679197767e-09
"XM_072052347.1",141.09286943742,5.75076538242396,0.833672246903874,6.89811302197163,5.2697814709401e-12,1.73635690028113e-09
"XM_027237525.2",269.919617179245,5.80528664237248,0.841887805388184,6.89555853549361,5.36535747272840e-12,1.74395869312887e-09
"XM_072075300.1",155.348633502509,3.21312626324363,0.467603858581163,6.87147080649233,6.3543296970325e-12,2.0378758960363e-09
"XM_027270921.2",665.1301673917,2.47082689969539,0.36015723015412,6.8604117669332,6.86623423573248e-12,2.14485106587108e-09
"XM_072082745.1",702.708102485384,3.59323132437888,0.524904457930996,6.84549591851866,7.62113923928636e-12,2.3501443861866e-09
"XM_027258328.2",1956.49430920783,1.3535151003243,0.198319193118349,6.82493246892436,8.79666858249804e-12,2.62091100475626e-09
"XM_027258563.2",241.864351325226,7.18773099602716,1.05278370827182,6.82735773697153,8.64928265437171e-12,2.62091100475626e-09
"XM_027239909.2",242.146004266766,5.16524773951762,0.760239360878306,6.7942387691558,1.08885921582811e-11,3.19394277052604e-09
"XM_027243699.2",466.452409380393,5.0191704404719,0.739818678274281,6.78432511622947,1.16630418173215e-11,3.37989331122934e-09
"XM_027212895.2",1651.09758411658,3.68963964186069,0.544714871417556,6.77352471075158,1.25682096986595e-11,3.56978012603211e-09
"XR_003453205.2",392.334070180089,2.97355279399015,0.439031289388229,6.77298603963666,1.26151129053644e-11,3.56978012603211e-09
"XM_072055608.1",889.204274105247,2.85153921255783,0.421702002970964,6.76197692320226,1.36121389398851e-11,3.80712532466344e-09
"XM_027249818.2",554.390944739883,3.85315496075717,0.574475466758404,6.70725763538587,1.98315953693695e-11,5.25957478171559e-09
"XM_072074459.1",442.593828159084,3.25810219684155,0.487033950293209,6.68968188948651,2.23656239477812e-11,5.84739513930414e-09
"XM_027237382.2",439.281561118314,7.18241774878275,1.08029313732117,6.64858222333356,2.95929650231287e-11,7.57233603937567e-09
"XM_027252780.2",329.65067025195,2.4953967803972,0.377501825484528,6.61029063156007,3.83566240261802e-11,9.71149344949171e-09
"XR_011839647.1",1468.81914148967,2.26273674729999,0.343653467964183,6.58435592314703,4.56861502732883e-11,1.13287522940557e-08
"XM_027205838.2",1421.42008776275,3.07173659266099,0.466977154285254,6.57791620954675,4.77086934110414e-11,1.15912848749069e-08
"XM_027238683.2",1303.13361202581,2.99757844806865,0.455667765020568,6.57842989603037,4.75441938801982e-11,1.15912848749069e-08
"XM_027224913.2",3288.18618788706,3.07538437281477,0.468321468019253,6.56682339552357,5.13999462378506e-11,1.23632290685902e-08
"XM_072055991.1",94.7276736718488,4.90474906028032,0.749418156810672,6.5447427657126,5.95978783559071e-11,1.37837285393715e-08
"XM_072062006.1",2192.93661766721,2.1906326475645,0.336613352486586,6.50786022414781,7.62287947000623e-11,1.68183507402365e-08
"XM_027211591.2",28.4791202991866,7.85073168746944,1.20866046808234,6.49539874496382,8.28137710966433e-11,1.79452219476357e-08
"XM_027240011.2",992.119868511454,5.76739849628182,0.89049873857651,6.47659367322764,9.38163833037474e-11,2.01479059607593e-08
"XM_027271323.2",3142.17851399621,3.38556114183567,0.523111537835009,6.47196801631909,9.67346012241719e-11,2.05729946097867e-08
"XM_027251591.2",1693.60322725195,8.19880351472432,1.27031665551239,6.45414155529376,1.08834046550125e-10,2.27633506232187e-08
"XM_027255863.2",150.887122806174,2.35081031272194,0.365952920790316,6.42380530163581,1.32909179490123e-10,2.73236281562045e-08
"XM_072050816.1",2189.32361033813,4.25071491123857,0.66260957276245,6.41511243720363,1.4071896503222e-10,2.86840107281355e-08
"XM_027232227.2",595.834281046472,3.98577039201795,0.625726380422499,6.36982955605405,1.89238382280492e-10,3.73094328605958e-08
"XM_072048970.1",1755.29976888096,1.25014769569205,0.196658527207756,6.35694629387392,2.05803905335633e-10,3.99209785083708e-08
"XM_027246728.2",54.7859429356928,8.73485054993856,1.37535636904837,6.35097255265,2.13957886158066e-10,4.11706322860798e-08
"XM_027256076.2",2520.53158562015,3.02758821045254,0.477444827963731,6.34123155834569,2.27935643391229e-10,4.35121907181685e-08
"XM_027229278.2",277.541355207419,4.01613152302315,0.636138027692317,6.31330206369245,2.73143616030043e-10,5.05378722797741e-08
"XM_027232245.2",804.976745965012,4.43544739851963,0.702705596330129,6.31195684463551,2.7552906885058e-10,5.05900816264352e-08
"XM_027244033.2",1060.19522406283,3.59124440008159,0.569822676758546,6.30238940385893,2.93091670348354e-10,5.34070753552194e-08
"XR_003453837.2",211.278845946332,4.55572264595439,0.729293636018445,6.24676045553641,4.19052976613349e-10,7.3572855813729e-08
